title,genre,language,rating,duration_min,year
Notes for My Son,Drama,Spanish,6.3,83.0,2020
"To Each, Her Own",Romantic comedy,French,5.3,95.0,2018
The Lovebirds,Romantic comedy,English,6.1,87.0,2020
The Perfection,Horror-thriller,English,6.1,90.0,2019
Happy Anniversary,Romantic comedy,English,5.8,78.0,2018
Why Did You Kill Me?,Documentary,English,5.6,83.0,2021
Death to 2020,Comedy,English,6.8,70.0,2020
Brene Brown: The Call to Courage,Documentary,English,7.7,76.0,2019
Operation Christmas Drop,Romantic comedy,English,5.8,96.0,2020
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,English,6.9,30.0,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,Portuguese,4.6,46.0,2019
El Pepe: A Supreme Life,Documentary,Spanish,7.1,73.0,2019
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,English/Mandarin,7.3,79.0,2016
"Out of Many, One",Documentary,English,5.7,34.0,2018
If Anything Happens I Love You,Animation / Short,English,7.8,12.0,2020
Polar,Action,English,6.3,118.0,2019
Shimmer Lake,Crime thriller,English,6.3,86.0,2017
In the Tall Grass,Horror,English,5.4,101.0,2019
Pieces of a Woman,Drama,English,7.1,126.0,2021
The Knight Before Christmas,Romantic comedy,English,5.5,92.0,2019
Unicorn Store,Comedy,English,5.5,92.0,2019
Our Souls at Night,Romance,English,6.9,103.0,2017
Birders,Documentary,English/Spanish,6.4,37.0,2019
Christmas Crossfire,Thriller,German,4.8,106.0,2020
Shawn Mendes: In Wonder,Documentary,English,6.6,83.0,2020
"Game Over, Man!",Action/Comedy,English,5.4,101.0,2018
Icarus,Documentary,English,7.9,120.0,2017
Forgive Us Our Debts,Drama,Italian,6.0,104.0,2018
Clinical,Thriller,English,5.1,104.0,2017
Crazy About Her,Romantic comedy,Spanish,6.6,102.0,2021
Night in Paradise,Drama,Korean,6.7,132.0,2021
Parchis: The Documentary,Documentary,Spanish,6.7,106.0,2019
The Siege of Jadotville,War,English,7.2,108.0,2016
I Am All Girls,Thriller,English,5.8,107.0,2021
Fyre: The Greatest Party That Never Happened,Documentary,English,7.2,97.0,2019
In the Shadow of the Moon,Thriller,English,6.2,115.0,2019
"Ariana Grande: Excuse Me, I Love You",Concert Film,English,6.4,97.0,2020
Kevin Hart's Guide to Black History,Variety show,English,5.5,63.0,2019
Secret Obsession,Thriller,English,4.4,97.0,2019
Apostle,Horror-thriller,English,6.3,129.0,2018
The Polka King,Comedy-drama,English,5.9,95.0,2018
American Factory,Documentary,English,7.4,110.0,2019
Sentinelle,Action,French,4.7,80.0,2021
Paradox,Musical/Western/Fantasy,English,3.9,73.0,2018
Coin Heist,Heist,English,4.8,97.0,2017
A California Christmas,Romantic comedy,English,5.8,107.0,2020
The Killer,Western,Portuguese,6.1,99.0,2017
Tall Girl,Comedy-drama,English,5.2,102.0,2019
Uncorked,Drama,English,6.3,103.0,2020
Outside the Wire,Action/Science fiction,English,5.4,114.0,2021
El Camino Christmas,Dark comedy,English,5.7,89.0,2017
The Beast,Drama,Italian,5.2,99.0,2020
The Trial of the Chicago 7,Drama,English,7.8,130.0,2020
The American Meme,Documentary,English,6.6,98.0,2018
The White Tiger,Drama,English,7.1,125.0,2021
Holiday Rush,Family film,English,4.9,94.0,2019
Hope Frozen: A Quest to Live Twice,Documentary,Thia/English,6.7,80.0,2020
The Paramedic,Thriller,Spanish,5.6,94.0,2020
Irreplaceable You,Drama,English,6.4,96.0,2018
The Princess Switch,Romantic comedy,English,6.0,101.0,2018
House Arrest,Comedy,Hindi,5.5,104.0,2019
Yeh Ballet,Drama,Hindi,7.6,117.0,2020
The Other One: The Long Strange Trip of Bob Weir,Documentary,English,7.3,83.0,2015
Imperial Dreams,Drama,English,6.7,87.0,2017
ReMastered: Who Killed Jam Master Jay?,Documentary,English,6.6,58.0,2018
All Because of You,Action comedy,Malay,4.2,101.0,2020
Seeing Allred,Documentary,English,6.9,95.0,2018
Sand Castle,War,English,6.3,113.0,2017
Caught by a Wave,Romantic teen drama,Italian,5.7,99.0,2021
Ginny Weds Sunny,Romantic comedy,Hindi,5.7,125.0,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,English,7.1,80.0,2020
What Would Sophia Loren Do?,Documentary,English,6.6,32.0,2021
Springsteen on Broadway,One-man show,English,8.5,153.0,2018
The Main Event,Comedy,English,4.8,101.0,2020
I'm No Longer Here,Drama,Spanish,7.3,105.0,2020
Blackpink: Light Up the Sky,Documentary,Korean,7.5,79.0,2020
Chopsticks,Comedy,Hindi,6.5,100.0,2019
Circus of Books,Documentary,English,7.1,92.0,2020
The Legend of Cocaine Island,Documentary,English,6.3,87.0,2019
Ma Rainey's Black Bottom,Drama,English,7.0,94.0,2020
Elisa & Marcela,Romance,Spanish,6.6,118.0,2019
Seriously Single,Comedy,English,4.5,107.0,2020
The Call,Drama,Korean,4.1,112.0,2020
Angela's Christmas,Animation,English,7.1,30.0,2018
