title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82.0,80
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77.0,80
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88.0,80
The Hunter,R,language and brief violence,100,2011,76.89795918367346,82
Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,76.89795918367346,82
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,76.89795918367346,82
Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,76.89795918367346,82
Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57.0,80
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,76.89795918367346,82
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
OperaÌ¤Ìµes Especiais,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2015,76.89795918367346,82
3%,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,76.89795918367346,82
Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,76.89795918367346,82
"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,76.89795918367346,82
White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,76.89795918367346,82
City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,76.89795918367346,82
Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
O Amor no DivÌ£,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
Stronger Than the World,NR,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,124,2016,76.89795918367346,82
Back and Forth,NR,This movie has not been rated.,124,2016,76.89795918367346,82
Happily Married,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,76.89795918367346,82
Pandora,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90.0,80
Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,76.89795918367346,82
The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90.0,80
Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80
Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80
The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,76.89795918367346,82
The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,76.89795918367346,82
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75.0,80
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,76.89795918367346,82
Minimalism: A Documentary About the Important Things,TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,70,2016,76.89795918367346,82
Win It All,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,76.89795918367346,82
Louis C.K. 2017,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,71.0,80
The Brothers,R,strong sexual content and language,100,2001,76.89795918367346,82
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80
Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,76.89795918367346,82
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80
