title,genre,language,imdb_score,premiere,runtime,year
Notes for My Son,Drama,Spanish,6.3,11/24/2020,83,2020-01-01
"To Each, Her Own",Romantic comedy,French,5.3,6/24/2018,95,2018-01-01
The Lovebirds,Romantic comedy,English,6.1,5/22/2020,87,2020-01-01
Happy Anniversary,Romantic comedy,English,5.8,3/30/2018,78,2018-01-01
Why Did You Kill Me?,Documentary,English,5.6,4/14/2021,83,2021-01-01
Death to 2020,Comedy,English,6.8,12/27/2020,70,2020-01-01
Brene Brown: The Call to Courage,Documentary,English,7.7,4/19/2019,76,2019-01-01
Operation Christmas Drop,Romantic comedy,English,5.8,11/5/2020,96,2020-01-01
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,English,6.9,5/23/2019,30,2019-01-01
Porta dos Fundos: The First Temptation of Christ,Comedy,Portuguese,4.6,12/3/2019,46,2019-01-01
El Pepe: A Supreme Life,Documentary,Spanish,7.1,12/27/2019,73,2019-01-01
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,English/Mandarin,7.3,10/14/2016,79,2016-01-01
"Out of Many, One",Documentary,English,5.7,12/12/2018,34,2018-01-01
If Anything Happens I Love You,Animation / Short,English,7.8,11/20/2020,12,2020-01-01
Polar,Action,English,6.3,1/25/2019,118,2019-01-01
Shimmer Lake,Crime thriller,English,6.3,6/9/2017,86,2017-01-01
In the Tall Grass,Horror,English,5.4,10/4/2019,101,2019-01-01
Pieces of a Woman,Drama,English,7.1,1/7/2021,126,2021-01-01
The Knight Before Christmas,Romantic comedy,English,5.5,11/21/2019,92,2019-01-01
Unicorn Store,Comedy,English,5.5,4/5/2019,92,2019-01-01
Our Souls at Night,Romance,English,6.9,9/29/2017,103,2017-01-01
Birders,Documentary,English/Spanish,6.4,9/25/2019,37,2019-01-01
Christmas Crossfire,Thriller,German,4.8,12/4/2020,106,2020-01-01
Shawn Mendes: In Wonder,Documentary,English,6.6,11/23/2020,83,2020-01-01
"Game Over, Man!",Action/Comedy,English,5.4,3/23/2018,101,2018-01-01
Icarus,Documentary,English,7.9,8/4/2017,120,2017-01-01
Forgive Us Our Debts,Drama,Italian,6.0,5/4/2018,104,2018-01-01
Clinical,Thriller,English,5.1,1/13/2017,104,2017-01-01
Crazy About Her,Romantic comedy,Spanish,6.6,2/26/2021,102,2021-01-01
Night in Paradise,Drama,Korean,6.7,4/9/2021,132,2021-01-01
Parchis: The Documentary,Documentary,Spanish,6.7,7/10/2019,106,2019-01-01
The Siege of Jadotville,War,English,7.2,10/7/2016,108,2016-01-01
I Am All Girls,Thriller,English,5.8,5/14/2021,107,2021-01-01
Fyre: The Greatest Party That Never Happened,Documentary,English,7.2,1/18/2019,97,2019-01-01
In the Shadow of the Moon,Thriller,English,6.2,9/27/2019,115,2019-01-01
"Ariana Grande: Excuse Me, I Love You",Concert Film,English,6.4,12/21/2020,97,2020-01-01
Kevin Hart's Guide to Black History,Variety show,English,5.5,2/8/2019,63,2019-01-01
Secret Obsession,Thriller,English,4.4,7/18/2019,97,2019-01-01
Apostle,Horror-thriller,English,6.3,10/12/2018,129,2018-01-01
The Polka King,Comedy-drama,English,5.9,1/12/2018,95,2018-01-01
American Factory,Documentary,English,7.4,8/21/2019,110,2019-01-01
Sentinelle,Action,French,4.7,3/5/2021,80,2021-01-01
Paradox,Musical/Western/Fantasy,English,3.9,3/23/2018,73,2018-01-01
Coin Heist,Heist,English,4.8,1/6/2017,97,2017-01-01
A California Christmas,Romantic comedy,English,5.8,12/14/2020,107,2020-01-01
The Killer,Western,Portuguese,6.1,11/10/2017,99,2017-01-01
Tall Girl,Comedy-drama,English,5.2,9/13/2019,102,2019-01-01
Uncorked,Drama,English,6.3,3/27/2020,103,2020-01-01
Outside the Wire,Action/Science fiction,English,5.4,1/15/2021,114,2021-01-01
El Camino Christmas,Dark comedy,English,5.7,12/8/2017,89,2017-01-01
The Beast,Drama,Italian,5.2,11/27/2020,99,2020-01-01
The Trial of the Chicago 7,Drama,English,7.8,10/16/2020,130,2020-01-01
The White Tiger,Drama,English,7.1,1/22/2021,125,2021-01-01
Holiday Rush,Family film,English,4.9,11/28/2019,94,2019-01-01
Hope Frozen: A Quest to Live Twice,Documentary,Thia/English,6.7,9/15/2020,80,2020-01-01
The Paramedic,Thriller,Spanish,5.6,9/16/2020,94,2020-01-01
Irreplaceable You,Drama,English,6.4,2/16/2018,96,2018-01-01
The Princess Switch,Romantic comedy,English,6.0,11/16/2018,101,2018-01-01
House Arrest,Comedy,Hindi,5.5,11/15/2019,104,2019-01-01
Yeh Ballet,Drama,Hindi,7.6,2/21/2020,117,2020-01-01
The Other One: The Long Strange Trip of Bob Weir,Documentary,English,7.3,5/22/2015,83,2015-01-01
ReMastered: Who Killed Jam Master Jay?,Documentary,English,6.6,12/7/2018,58,2018-01-01
Sand Castle,War,English,6.3,4/21/2017,113,2017-01-01
Caught by a Wave,Romantic teen drama,Italian,5.7,3/25/2021,99,2021-01-01
Dance Dreams: Hot Chocolate Nutcracker,Documentary,English,7.1,11/27/2020,80,2020-01-01
What Would Sophia Loren Do?,Documentary,English,6.6,1/15/2021,32,2021-01-01
Springsteen on Broadway,One-man show,English,8.5,12/16/2018,153,2018-01-01
The Main Event,Comedy,English,4.8,4/10/2020,101,2020-01-01
I'm No Longer Here,Drama,Spanish,7.3,5/27/2020,105,2020-01-01
Blackpink: Light Up the Sky,Documentary,Korean,7.5,10/14/2020,79,2020-01-01
Chopsticks,Comedy,Hindi,6.5,5/31/2019,100,2019-01-01
Circus of Books,Documentary,English,7.1,4/22/2020,92,2020-01-01
The Legend of Cocaine Island,Documentary,English,6.3,3/29/2019,87,2019-01-01
Ma Rainey's Black Bottom,Drama,English,7.0,12/18/2020,94,2020-01-01
Elisa & Marcela,Romance,Spanish,6.6,6/7/2019,118,2019-01-01
Seriously Single,Comedy,English,4.5,7/31/2020,107,2020-01-01
Angela's Christmas,Animation,English,7.1,11/30/2018,30,2018-01-01
Get the Goat,Comedy,Portuguese,6.3,3/18/2021,97,2021-01-01
What Did Jack Do?,Drama / Short,English,6.5,1/20/2020,17,2020-01-01
When We First Met,Romantic comedy,English,6.4,2/9/2018,97,2018-01-01
Alex Strangelove,Romantic comedy,English,6.3,6/8/2018,99,2018-01-01
The Mars Generation,Documentary,English,6.4,5/5/2017,97,2017-01-01
Bulbbul,Horror,Hindi,6.6,6/24/2020,94,2020-01-01
The Great Hack,Documentary,English,7.1,7/24/2019,114,2019-01-01
How It Ends,Action-thriller,English,5.0,7/13/2018,113,2018-01-01
The Incredible Jessica James,Comedy,English,6.5,7/28/2017,83,2017-01-01
The Forest of Love,Drama,Japanese,6.3,10/11/2019,151,2019-01-01
Canvas ,Animation / Short,English,6.5,12/11/2020,9,2020-01-01
Firebrand,Drama,Marathi,5.2,2/22/2019,112,2019-01-01
#REALITYHIGH,Comedy,English,5.2,9/8/2017,99,2017-01-01
Rattlesnake,Horror,English,4.6,10/25/2019,85,2019-01-01
Murder to Mercy: The Cyntoia Brown Story,Documentary,English,6.4,4/29/2020,97,2020-01-01
Sextuplets,Comedy,English,4.4,8/16/2019,99,2019-01-01
Cuba and the Cameraman ,Documentary,English,8.3,11/24/2017,114,2017-01-01
Christmas Inheritance,Romantic drama,English,5.7,12/15/2017,104,2017-01-01
Mank,Biopic,English,6.9,12/4/2020,132,2020-01-01
The Crimes That Bind,Crime drama,Spanish,6.6,8/20/2020,99,2020-01-01
Red Dot,Thriller,Swedish,5.5,2/11/2021,86,2021-01-01
The Last Days of American Crime,Heist film/Thriller,English,3.7,6/5/2020,149,2020-01-01
Lionheart,Comedy,English,5.7,1/4/2019,94,2019-01-01
"Bikram: Yogi, Guru, Predator",Documentary,English,6.7,11/20/2019,86,2019-01-01
Strong Island,Documentary,English,6.4,9/15/2017,107,2017-01-01
A Secret Love,Documentary,English,7.9,4/29/2020,82,2020-01-01
Seventeen,Coming-of-age comedy-drama,Spanish,7.2,10/18/2019,99,2019-01-01
Nobody Knows I'm Here,Drama,Spanish,6.5,6/24/2020,91,2020-01-01
The Laundromat,Comedy-drama,English,6.3,10/18/2019,98,2019-01-01
"Lorena, Light-Footed Woman",Documentary,Spanish,7.0,11/20/2019,28,2019-01-01
End Game,Documentary,English,7.1,5/4/2018,40,2018-01-01
The Babysitter: Killer Queen,Comedy/Horror,English,5.8,9/10/2020,102,2020-01-01
iBoy,Science fiction/Thriller,English,6.0,1/27/2017,90,2017-01-01
I Am Not an Easy Man,Romantic comedy,French,6.3,4/13/2018,98,2018-01-01
Ride or Die,Psychological thriller drama,Japanese,5.5,4/15/2021,142,2021-01-01
The Angel,Spy thriller,English,6.6,9/14/2018,114,2018-01-01
Get the Grift,Comedy,Portuguese,5.5,4/28/2021,94,2021-01-01
Concrete Cowboy,Drama,English,6.3,4/2/2021,111,2021-01-01
Porta dos Fundos: The Last Hangover,Comedy,Portuguese,6.3,12/21/2018,44,2018-01-01
Tig,Documentary,English,7.4,7/17/2015,80,2015-01-01
The Midnight Sky,Science fiction,English,5.6,12/23/2020,118,2020-01-01
Ultras,Sports film,Italian,5.9,3/20/2020,108,2020-01-01
Tony Robbins: I Am Not Your Guru,Documentary,English,6.7,7/15/2016,116,2016-01-01
June & Kopi,Drama,Indonesian,6.3,1/28/2021,90,2021-01-01
We Are One,Documentary,French,4.6,7/14/2020,86,2020-01-01
Monster,Drama,English,6.5,5/7/2021,98,2021-01-01
Grass Is Greener,Documentary,English,7.1,4/20/2019,97,2019-01-01
Hubie Halloween,Comedy,English,5.2,10/7/2020,103,2020-01-01
Little Evil,Comedy horror,English,5.7,9/1/2017,94,2017-01-01
Ferry,Crime drama,Dutch,7.1,5/14/2021,106,2021-01-01
Desperados,Romantic comedy,English,5.2,7/3/2020,106,2020-01-01
Lust Stories,Drama,Hindi,6.5,6/15/2018,120,2018-01-01
Under the Riccione Sun,Romantic teenage drama,Italian,5.4,7/1/2020,101,2020-01-01
Burning Sands,Drama,English,6.1,3/10/2017,102,2017-01-01
